Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
8477,1,83,6,47,137,1,21,0,0,0,0,1,1,0,0,7510621,1,0,0.008898692094924467,1.0366678736925319,36.3
17723,4,16,13,35,13,9,13,0,0,0,0,0,0,1,1,7511349,1,0,0.03150370160897329,-0.872503783119703,23.3
14628,1,118,9,53,44,8,29,0,0,0,0,0,0,1,1,7510936,1,0,0.01791869658560452,1.564172471948611,32.9
20898,4,324,8,53,80,2,62,0,0,0,0,0,0,1,1,7510831,1,0,0.02699974529041645,-0.33203506116808423,28.9
15726,3,33,1,28,20,1,14,1,1,0,0,0,0,0,0,7510101,0,1,0.009472874659510716,0.17138079722219274,21.7
15167,1,187,10,106,33,21,29,0,0,0,0,0,0,1,1,7511037,0,1,0.021670423696255475,0.9836087971066798,29.1
13759,3,37,12,42,23,15,18,0,0,1,1,0,0,0,0,7511245,1,0,0.10318839920409463,-0.23960639908888043,20.9
14628,1,88,9,65,106,7,34,0,0,0,0,1,1,0,0,7510933,0,1,0.021109145373455734,-1.0119346640805658,27.9
18654,4,63,20,51,31,10,18,0,0,0,0,1,1,0,0,7512077,0,1,0.04283884998942392,0.21566065917861754,19.4
5350,4,156,2,31,29,2,26,0,0,1,1,0,0,0,0,7510208,0,1,0.007335478692445038,0.7572738013038912,22.9
24474,3,196,18,117,81,29,51,1,1,0,0,0,0,0,0,7511869,1,0,0.03175521763014732,-1.2021980220756778,20.5
17723,1,70,13,78,37,10,23,0,0,0,0,0,0,1,1,7511350,1,0,0.044398323971411253,-0.884053139014644,29.4
8477,1,221,6,45,126,0,59,0,0,0,0,1,1,0,0,7510624,1,0,0.012815162302587524,0.5459862981518804,36.3
5428,3,311,4,68,48,3,63,1,1,0,0,0,0,0,0,7510414,0,1,0.015032934622597622,-0.4327165179589617,21.5
8378,2,192,3,27,48,3,25,0,0,0,0,0,0,1,1,7510310,1,0,0.017866988762024145,0.11782336177145036,31.3
15513,3,138,11,82,62,15,61,0,0,1,1,0,0,0,0,7511141,1,0,0.029222881096545122,0.17696716953112207,22.3
19422,1,145,15,90,63,22,110,0,0,1,1,0,0,0,0,7511559,1,0,0.05491731707144338,0.20881656332917942,29.7
15167,3,78,10,75,22,3,23,0,0,0,0,1,1,0,0,7511038,0,1,0.013131521851184724,0.9829598026967977,23.6
5350,4,102,2,32,15,1,9,0,0,0,0,1,1,0,0,7510205,1,0,0.013895705956328566,-0.5340203277469392,29.6
16265,2,78,16,90,21,50,51,0,0,0,0,1,1,0,0,7511661,0,1,0.0865918881942693,0.13610926400500145,25.0
14628,1,88,9,65,106,7,34,0,0,1,1,0,0,0,0,7510933,0,1,0.021109145373455734,-1.0119346640805658,26.8
15513,1,138,11,82,62,15,61,0,0,1,1,0,0,0,0,7511141,1,0,0.029222881096545122,0.17696716953112207,28.7
14628,3,88,9,65,106,7,34,0,0,0,0,1,1,0,0,7510933,0,1,0.021109145373455734,-1.0119346640805658,23.6
13879,4,51,14,45,30,11,21,0,0,1,1,0,0,0,0,7511453,0,1,0.027714581248481984,1.1084022146821828,21.7
17723,2,13,13,21,13,4,6,0,0,0,0,1,1,0,0,7511352,0,1,0.028366105280227257,-1.4717402443170884,25.0
19422,2,118,15,124,43,31,67,0,0,0,0,1,1,0,0,7511557,1,0,0.05432869012675574,0.5318041662032758,26.4
17723,2,127,13,100,29,28,36,0,0,1,1,0,0,0,0,7511351,0,1,0.038886240308054626,-1.3958987381223886,21.3
15726,3,33,1,28,20,1,14,0,0,0,0,1,1,0,0,7510101,0,1,0.009472874659510716,0.17138079722219274,24.5
7169,3,194,7,56,84,0,217,0,0,0,0,1,1,0,0,7510725,1,0,0.02097740006553859,0.36105291208426493,32.0
13759,4,37,12,42,23,15,18,1,1,0,0,0,0,0,0,7511245,0,1,0.10318839920409463,-0.23960639908888043,18.1
19422,2,118,15,124,43,31,67,0,0,1,1,0,0,0,0,7511557,1,0,0.05432869012675574,0.5318041662032758,25.0
14628,3,226,9,75,21,0,20,1,1,0,0,0,0,0,0,7510934,1,0,0.016766360054298265,-0.7230741369929625,24.5
8477,2,68,5,93,100,0,11,0,0,0,0,1,1,0,0,7510520,1,0,0.013217462160435654,-1.5421401019127452,28.7
15726,1,357,1,63,53,5,51,0,0,1,1,0,0,0,0,7510102,0,1,0.0,0.0,26.8
18770,4,82,17,70,23,17,28,0,0,0,0,1,1,0,0,7511768,0,1,0.040306042425190564,-0.9058307868075594,19.4
18654,2,63,20,51,31,10,18,1,1,0,0,0,0,0,0,7512077,0,1,0.04283884998942392,0.21566065917861754,22.1
14628,3,98,9,44,88,4,48,0,0,1,1,0,0,0,0,7510935,0,1,0.011260854317765615,-1.3903062463311873,21.2
5428,2,26,4,22,48,2,8,1,1,0,0,0,0,0,0,7510416,1,0,0.013013554980597416,-0.8362034742714815,30.2
8477,1,378,6,113,42,5,72,0,0,0,0,1,1,0,0,7510623,0,1,0.025716388963695498,0.6619775083949289,35.0
15513,4,118,11,68,65,23,64,1,1,0,0,0,0,0,0,7511144,0,1,0.04212937941788979,-0.2272299232755855,20.6
5350,3,156,2,31,29,2,26,0,0,1,1,0,0,0,0,7510208,1,0,0.007335478692445038,0.7572738013038912,27.2
15726,1,249,1,35,20,2,16,0,0,0,0,1,1,0,0,7510104,0,1,0.0168768644190784,-0.3040032939384008,32.1
8477,2,42,5,62,49,4,26,1,1,0,0,0,0,0,0,7510517,1,0,0.017639857076606928,-0.937066607169339,25.8
15167,3,78,10,75,22,3,23,0,0,1,1,0,0,0,0,7511038,1,0,0.013131521851184724,0.9829598026967977,24.0
17723,4,127,13,100,29,28,36,0,0,0,0,1,1,0,0,7511351,1,0,0.038886240308054626,-1.3958987381223886,26.4
15167,4,187,10,106,33,21,29,0,0,0,0,1,1,0,0,7511037,0,1,0.021670423696255475,0.9836087971066798,20.4
19422,4,145,15,90,63,22,110,0,0,0,0,1,1,0,0,7511559,0,1,0.05491731707144338,0.20881656332917942,23.4
14628,1,98,9,44,88,4,48,0,0,0,0,1,1,0,0,7510935,0,1,0.011260854317765615,-1.3903062463311873,27.9
8477,3,378,6,113,42,5,72,0,0,1,1,0,0,0,0,7510623,0,1,0.025716388963695498,0.6619775083949289,26.3
24474,2,51,18,52,12,5,87,0,0,1,1,0,0,0,0,7511871,1,0,0.03254836608365798,1.2195821586003106,25.9
19422,3,118,15,124,43,31,67,1,1,0,0,0,0,0,0,7511557,0,1,0.05432869012675574,0.5318041662032758,19.6
15513,3,154,11,86,67,32,67,0,0,0,0,1,1,0,0,7511143,1,0,0.03666785677769519,-0.13293929222981885,23.6
18654,1,66,20,65,24,15,22,0,0,1,1,0,0,0,0,7512079,1,0,0.050465554000563836,0.03369118633025363,26.1
8378,2,193,3,33,120,5,24,0,0,0,0,1,1,0,0,7510311,1,0,0.01824921248496253,-0.15822279176508441,28.7
18654,2,92,20,88,19,25,35,1,1,0,0,0,0,0,0,7512080,1,0,0.06035182046056602,-0.09795681717243715,21.6
18770,2,209,17,104,49,62,72,0,0,0,0,0,0,1,1,7511765,1,0,0.05891330536171602,-0.34006327359121336,29.8
18654,3,20,20,38,7,7,11,0,0,1,1,0,0,0,0,7512078,0,1,0.06244752275613116,0.13249728900426244,16.7
19856,4,29,19,21,10,8,11,0,0,1,1,0,0,0,0,7511974,0,1,0.05127307109114775,0.6744651784068575,15.0
8378,4,65,3,20,62,5,9,0,0,0,0,1,1,0,0,7510312,1,0,0.010099789072358277,0.02308626913492399,28.1
13759,2,20,12,22,34,4,7,1,1,0,0,0,0,0,0,7511247,1,0,0.04888113263636414,-0.5854181039009496,23.6
19422,2,118,15,124,43,31,67,0,0,0,0,0,0,1,1,7511557,0,1,0.05432869012675574,0.5318041662032758,22.6
5350,2,45,2,23,55,4,11,0,0,0,0,0,0,1,1,7510206,0,1,0.008892602048576588,-0.9196136595002139,27.7
20898,1,324,8,53,80,2,62,0,0,0,0,1,1,0,0,7510831,0,1,0.02699974529041645,-0.33203506116808423,32.1
7169,1,17,7,25,18,2,31,0,0,0,0,1,1,0,0,7510726,1,0,0.029053008834889205,0.15409345577556788,39.6
19856,3,57,19,43,13,9,9,0,0,1,1,0,0,0,0,7511976,0,1,0.03861848520246173,0.4466457501343289,18.5
13879,3,66,14,71,31,20,35,0,0,1,1,0,0,0,0,7511456,1,0,0.04180597292850479,0.8268882377719562,22.7
8378,4,192,3,27,48,3,25,0,0,1,1,0,0,0,0,7510310,0,1,0.017866988762024145,0.11782336177145036,22.9
8477,4,378,6,113,42,5,72,0,0,1,1,0,0,0,0,7510623,1,0,0.025716388963695498,0.6619775083949289,27.7
18770,3,82,17,70,23,17,28,0,0,0,0,0,0,1,1,7511768,0,1,0.040306042425190564,-0.9058307868075594,23.0
16265,2,151,16,56,7,8,25,1,1,0,0,0,0,0,0,7511663,0,1,0.0739359364808242,-0.1283748729717448,25.8
8378,4,65,3,20,62,5,9,1,1,0,0,0,0,0,0,7510312,1,0,0.010099789072358277,0.02308626913492399,26.0
15513,1,118,11,68,65,23,64,0,0,1,1,0,0,0,0,7511144,1,0,0.04212937941788979,-0.2272299232755855,30.1
15726,3,249,1,35,20,2,16,0,0,0,0,1,1,0,0,7510104,1,0,0.0168768644190784,-0.3040032939384008,27.7
8477,2,68,5,93,100,0,11,0,0,0,0,0,0,1,1,7510520,0,1,0.013217462160435654,-1.5421401019127452,27.7
5428,4,311,4,68,48,3,63,0,0,1,1,0,0,0,0,7510414,0,1,0.015032934622597622,-0.4327165179589617,22.9
5350,3,93,2,30,12,3,16,1,1,0,0,0,0,0,0,7510207,1,0,0.006037335832314766,-1.5369719854089665,24.3
15726,2,357,1,63,53,5,51,0,0,1,1,0,0,0,0,7510102,0,1,0.0,0.0,22.4
5350,4,156,2,31,29,2,26,0,0,0,0,1,1,0,0,7510208,0,1,0.007335478692445038,0.7572738013038912,24.9
17723,3,70,13,78,37,10,23,0,0,1,1,0,0,0,0,7511350,0,1,0.044398323971411253,-0.884053139014644,16.7
15167,3,78,10,75,22,3,23,0,0,0,0,0,0,1,1,7511038,0,1,0.013131521851184724,0.9829598026967977,22.8
14628,1,226,9,75,21,0,20,1,1,0,0,0,0,0,0,7510934,1,0,0.016766360054298265,-0.7230741369929625,36.0
13879,1,51,14,45,30,11,21,0,0,0,0,0,0,1,1,7511453,1,0,0.027714581248481984,1.1084022146821828,32.9
19856,4,41,19,51,14,12,16,0,0,0,0,1,1,0,0,7511975,1,0,0.053305879132159666,0.3899946029286863,18.5
15726,4,33,1,28,20,1,14,0,0,0,0,1,1,0,0,7510101,0,1,0.009472874659510716,0.17138079722219274,26.2
13759,4,20,12,22,34,4,7,0,0,0,0,0,0,1,1,7511247,0,1,0.04888113263636414,-0.5854181039009496,20.1
20898,2,198,8,34,3,7,6,0,0,0,0,1,1,0,0,7510829,1,0,0.03834791115570099,-0.16501578657760615,30.2
19856,3,84,19,66,13,11,28,1,1,0,0,0,0,0,0,7511973,0,1,0.038590398049620556,0.6758331820717092,16.5
18654,1,63,20,51,31,10,18,0,0,0,0,1,1,0,0,7512077,1,0,0.04283884998942392,0.21566065917861754,27.2
5428,4,83,4,29,38,6,16,1,1,0,0,0,0,0,0,7510415,0,1,0.022329542530343464,-0.506505356231451,22.9
17723,4,13,13,21,13,4,6,1,1,0,0,0,0,0,0,7511352,0,1,0.028366105280227257,-1.4717402443170884,21.5
8378,3,80,3,27,56,8,17,1,1,0,0,0,0,0,0,7510309,0,1,0.012944494651200658,0.3382798917020086,21.5
14628,3,98,9,44,88,4,48,1,1,0,0,0,0,0,0,7510935,0,1,0.011260854317765615,-1.3903062463311873,20.3
15726,2,249,1,35,20,2,16,0,0,0,0,0,0,1,1,7510104,1,0,0.0168768644190784,-0.3040032939384008,31.9
17723,3,16,13,35,13,9,13,0,0,1,1,0,0,0,0,7511349,1,0,0.03150370160897329,-0.872503783119703,24.6
8477,1,68,5,93,100,0,11,0,0,0,0,1,1,0,0,7510520,1,0,0.013217462160435654,-1.5421401019127452,32.1
8477,2,221,6,45,126,0,59,0,0,1,1,0,0,0,0,7510624,1,0,0.012815162302587524,0.5459862981518804,28.6
18770,2,82,17,70,23,17,28,0,0,1,1,0,0,0,0,7511768,0,1,0.040306042425190564,-0.9058307868075594,22.9
8477,4,378,6,113,42,5,72,0,0,0,0,1,1,0,0,7510623,1,0,0.025716388963695498,0.6619775083949289,33.8
16265,4,78,16,90,21,50,51,0,0,0,0,1,1,0,0,7511661,0,1,0.0865918881942693,0.13610926400500145,23.4
8378,1,65,3,20,62,5,9,0,0,1,1,0,0,0,0,7510312,1,0,0.010099789072358277,0.02308626913492399,34.2
15726,4,33,1,28,20,1,14,0,0,0,0,0,0,1,1,7510101,1,0,0.009472874659510716,0.17138079722219274,28.9
8378,2,193,3,33,120,5,24,0,0,1,1,0,0,0,0,7510311,1,0,0.01824921248496253,-0.15822279176508441,25.7
13759,3,126,12,94,66,26,101,0,0,0,0,0,0,1,1,7511248,1,0,0.03347954928395306,-0.47734671686947006,26.0
19422,3,110,15,99,33,24,48,0,0,0,0,1,1,0,0,7511558,1,0,0.03749485221786559,0.5565652275688768,27.6
19856,3,41,19,51,14,12,16,1,1,0,0,0,0,0,0,7511975,0,1,0.053305879132159666,0.3899946029286863,16.5
20898,3,127,8,89,66,11,54,0,0,0,0,0,0,1,1,7510832,0,1,0.03342214876446949,-0.5112052722868463,24.2
20898,2,198,8,34,3,7,6,0,0,1,1,0,0,0,0,7510829,1,0,0.03834791115570099,-0.16501578657760615,28.6
5350,2,156,2,31,29,2,26,0,0,1,1,0,0,0,0,7510208,0,1,0.007335478692445038,0.7572738013038912,22.7
5350,1,45,2,23,55,4,11,0,0,0,0,0,0,1,1,7510206,0,1,0.008892602048576588,-0.9196136595002139,31.1
13759,1,86,12,94,73,26,33,1,1,0,0,0,0,0,0,7511246,1,0,0.10187496778338553,-0.2841438447623457,28.0
13879,2,2,14,15,6,0,2,0,0,1,1,0,0,0,0,7511454,1,0,0.03876798634491023,1.348510898169314,25.9
5350,3,156,2,31,29,2,26,0,0,0,0,1,1,0,0,7510208,0,1,0.007335478692445038,0.7572738013038912,23.0
15726,3,131,1,34,49,0,28,1,1,0,0,0,0,0,0,7510103,1,0,0.009099648178207154,-0.2872174732934686,24.5
15726,4,249,1,35,20,2,16,0,0,0,0,1,1,0,0,7510104,1,0,0.0168768644190784,-0.3040032939384008,29.6
19856,1,41,19,51,14,12,16,1,1,0,0,0,0,0,0,7511975,1,0,0.053305879132159666,0.3899946029286863,25.9
24474,1,294,18,196,134,21,141,1,1,0,0,0,0,0,0,7511870,1,0,0.029657441569164104,1.5372174893205752,28.0
7169,1,13,7,21,4,5,8,0,0,0,0,1,1,0,0,7510727,0,1,0.03560921164149469,0.34769086248715747,35.0
8477,1,83,6,47,137,1,21,0,0,0,0,1,1,0,0,7510621,0,1,0.008898692094924467,1.0366678736925319,32.1
18654,1,92,20,88,19,25,35,0,0,0,0,0,0,1,1,7512080,1,0,0.06035182046056602,-0.09795681717243715,29.4
15167,4,62,10,45,23,15,25,0,0,1,1,0,0,0,0,7511040,1,0,0.025982197987841873,0.5956749430371416,23.4
15167,1,62,10,45,23,15,25,0,0,0,0,0,0,1,1,7511040,0,1,0.025982197987841873,0.5956749430371416,28.1
15726,4,33,1,28,20,1,14,0,0,1,1,0,0,0,0,7510101,0,1,0.009472874659510716,0.17138079722219274,22.2
18654,4,63,20,51,31,10,18,0,0,0,0,1,1,0,0,7512077,1,0,0.04283884998942392,0.21566065917861754,21.9
15726,1,33,1,28,20,1,14,0,0,0,0,0,0,1,1,7510101,1,0,0.009472874659510716,0.17138079722219274,37.0
13759,1,126,12,94,66,26,101,0,0,0,0,1,1,0,0,7511248,1,0,0.03347954928395306,-0.47734671686947006,27.2
8477,2,221,6,45,126,0,59,0,0,0,0,0,0,1,1,7510624,0,1,0.012815162302587524,0.5459862981518804,28.2
20898,1,127,8,89,66,11,54,0,0,0,0,1,1,0,0,7510832,0,1,0.03342214876446949,-0.5112052722868463,27.6
13759,2,20,12,22,34,4,7,1,1,0,0,0,0,0,0,7511247,0,1,0.04888113263636414,-0.5854181039009496,20.9
15513,4,118,11,68,65,23,64,0,0,0,0,0,0,1,1,7511144,0,1,0.04212937941788979,-0.2272299232755855,20.6
19422,4,124,15,61,28,16,55,1,1,0,0,0,0,0,0,7511560,1,0,0.06997947052887823,0.33759331165368633,24.2
5350,3,102,2,32,15,1,9,0,0,1,1,0,0,0,0,7510205,0,1,0.013895705956328566,-0.5340203277469392,22.3
13759,1,126,12,94,66,26,101,0,0,0,0,0,0,1,1,7511248,1,0,0.03347954928395306,-0.47734671686947006,31.8
17723,2,13,13,21,13,4,6,0,0,1,1,0,0,0,0,7511352,0,1,0.028366105280227257,-1.4717402443170884,22.4
7169,2,17,7,25,18,2,31,0,0,0,0,1,1,0,0,7510726,1,0,0.029053008834889205,0.15409345577556788,33.2
16265,3,78,16,90,21,50,51,0,0,0,0,0,0,1,1,7511661,0,1,0.0865918881942693,0.13610926400500145,22.9
14628,4,118,9,53,44,8,29,0,0,1,1,0,0,0,0,7510936,0,1,0.01791869658560452,1.564172471948611,21.7
24474,3,51,18,52,12,5,87,0,0,1,1,0,0,0,0,7511871,0,1,0.03254836608365798,1.2195821586003106,19.7
19856,3,84,19,66,13,11,28,0,0,0,0,0,0,1,1,7511973,1,0,0.038590398049620556,0.6758331820717092,23.1
7169,2,122,7,69,42,7,41,0,0,1,1,0,0,0,0,7510728,1,0,0.04456615975459604,0.10506839732061903,30.2
19422,3,110,15,99,33,24,48,0,0,1,1,0,0,0,0,7511558,0,1,0.03749485221786559,0.5565652275688768,23.6
5350,3,102,2,32,15,1,9,0,0,0,0,1,1,0,0,7510205,1,0,0.013895705956328566,-0.5340203277469392,27.7
5428,4,132,4,45,54,2,22,0,0,0,0,0,0,1,1,7510413,0,1,0.00768792664171321,-0.5690648694063986,25.6
18770,2,152,17,70,40,29,41,0,0,0,0,1,1,0,0,7511767,0,1,0.04246158300548295,-0.6927070568004665,24.8
15167,3,78,10,75,22,3,23,0,0,1,1,0,0,0,0,7511038,0,1,0.013131521851184724,0.9829598026967977,21.2
5350,3,156,2,31,29,2,26,0,0,0,0,0,0,1,1,7510208,0,1,0.007335478692445038,0.7572738013038912,25.0
16265,2,229,16,90,14,4,59,0,0,0,0,1,1,0,0,7511662,1,0,0.0922557887316518,-0.01329824017080208,30.2
8477,4,378,6,113,42,5,72,0,0,0,0,0,0,1,1,7510623,1,0,0.025716388963695498,0.6619775083949289,31.9
8378,1,192,3,27,48,3,25,0,0,0,0,0,0,1,1,7510310,1,0,0.017866988762024145,0.11782336177145036,35.1
18654,1,66,20,65,24,15,22,0,0,0,0,0,0,1,1,7512079,1,0,0.050465554000563836,0.03369118633025363,28.5
15167,4,78,10,75,22,3,23,1,1,0,0,0,0,0,0,7511038,1,0,0.013131521851184724,0.9829598026967977,24.3
17723,2,13,13,21,13,4,6,0,0,0,0,0,0,1,1,7511352,0,1,0.028366105280227257,-1.4717402443170884,24.7
5428,4,311,4,68,48,3,63,1,1,0,0,0,0,0,0,7510414,0,1,0.015032934622597622,-0.4327165179589617,23.0
14628,3,98,9,44,88,4,48,0,0,0,0,0,0,1,1,7510935,0,1,0.011260854317765615,-1.3903062463311873,22.8
18654,4,20,20,38,7,7,11,1,1,0,0,0,0,0,0,7512078,1,0,0.06244752275613116,0.13249728900426244,16.5
18654,4,92,20,88,19,25,35,1,1,0,0,0,0,0,0,7512080,0,1,0.06035182046056602,-0.09795681717243715,14.6
7169,1,194,7,56,84,0,217,0,0,1,1,0,0,0,0,7510725,0,1,0.02097740006553859,0.36105291208426493,31.8
15513,1,118,11,68,65,23,64,1,1,0,0,0,0,0,0,7511144,1,0,0.04212937941788979,-0.2272299232755855,27.6
8378,1,65,3,20,62,5,9,1,1,0,0,0,0,0,0,7510312,1,0,0.010099789072358277,0.02308626913492399,33.7
18654,1,92,20,88,19,25,35,1,1,0,0,0,0,0,0,7512080,0,1,0.06035182046056602,-0.09795681717243715,22.9
16265,1,78,16,90,21,50,51,0,0,1,1,0,0,0,0,7511661,0,1,0.0865918881942693,0.13610926400500145,26.3
16265,3,229,16,90,14,4,59,1,1,0,0,0,0,0,0,7511662,0,1,0.0922557887316518,-0.01329824017080208,25.3
16265,2,151,16,56,7,8,25,0,0,1,1,0,0,0,0,7511663,1,0,0.0739359364808242,-0.1283748729717448,30.4
19422,1,145,15,90,63,22,110,0,0,0,0,1,1,0,0,7511559,0,1,0.05491731707144338,0.20881656332917942,26.5
8378,4,193,3,33,120,5,24,1,1,0,0,0,0,0,0,7510311,1,0,0.01824921248496253,-0.15822279176508441,26.0
5350,2,156,2,31,29,2,26,1,1,0,0,0,0,0,0,7510208,1,0,0.007335478692445038,0.7572738013038912,25.8
18654,1,63,20,51,31,10,18,0,0,0,0,0,0,1,1,7512077,1,0,0.04283884998942392,0.21566065917861754,31.8
16265,3,229,16,90,14,4,59,0,0,0,0,0,0,1,1,7511662,0,1,0.0922557887316518,-0.01329824017080208,24.2
20898,4,183,8,56,45,15,51,1,1,0,0,0,0,0,0,7510830,1,0,0.043695326468300634,-0.27614936456924316,25.9
14628,3,88,9,65,106,7,34,0,0,1,1,0,0,0,0,7510933,0,1,0.021109145373455734,-1.0119346640805658,21.2
5428,4,132,4,45,54,2,22,0,0,1,1,0,0,0,0,7510413,0,1,0.00768792664171321,-0.5690648694063986,22.2
16265,4,229,16,90,14,4,59,0,0,0,0,0,0,1,1,7511662,0,1,0.0922557887316518,-0.01329824017080208,23.7
18770,1,82,17,70,23,17,28,0,0,1,1,0,0,0,0,7511768,0,1,0.040306042425190564,-0.9058307868075594,25.4
13759,4,37,12,42,23,15,18,0,0,1,1,0,0,0,0,7511245,1,0,0.10318839920409463,-0.23960639908888043,19.8
15513,2,118,11,68,65,23,64,0,0,0,0,0,0,1,1,7511144,1,0,0.04212937941788979,-0.2272299232755855,27.8
8477,1,378,6,113,42,5,72,0,0,0,0,1,1,0,0,7510623,1,0,0.025716388963695498,0.6619775083949289,39.6
13879,4,66,14,71,31,20,35,0,0,0,0,1,1,0,0,7511456,1,0,0.04180597292850479,0.8268882377719562,26.4
5350,4,102,2,32,15,1,9,0,0,1,1,0,0,0,0,7510205,0,1,0.013895705956328566,-0.5340203277469392,22.2
24474,2,294,18,196,134,21,141,0,0,0,0,0,0,1,1,7511870,0,1,0.029657441569164104,1.5372174893205752,23.2
13879,2,2,14,15,6,0,2,0,0,0,0,1,1,0,0,7511454,0,1,0.03876798634491023,1.348510898169314,23.9
18654,1,20,20,38,7,7,11,0,0,1,1,0,0,0,0,7512078,1,0,0.06244752275613116,0.13249728900426244,24.0
13759,4,86,12,94,73,26,33,0,0,0,0,1,1,0,0,7511246,1,0,0.10187496778338553,-0.2841438447623457,22.6
5428,1,26,4,22,48,2,8,0,0,1,1,0,0,0,0,7510416,0,1,0.013013554980597416,-0.8362034742714815,27.9
15513,2,138,11,82,62,15,61,0,0,0,0,0,0,1,1,7511141,1,0,0.029222881096545122,0.17696716953112207,27.3
15167,4,124,10,78,35,11,25,1,1,0,0,0,0,0,0,7511039,0,1,0.01949907394223315,0.5338691280771024,21.6
15726,3,249,1,35,20,2,16,1,1,0,0,0,0,0,0,7510104,0,1,0.0168768644190784,-0.3040032939384008,21.7
14628,2,226,9,75,21,0,20,0,0,1,1,0,0,0,0,7510934,0,1,0.016766360054298265,-0.7230741369929625,25.3
8477,2,204,6,77,43,2,39,0,0,1,1,0,0,0,0,7510622,1,0,0.01757250420777975,1.0487246508711732,28.6
18654,1,63,20,51,31,10,18,0,0,0,0,1,1,0,0,7512077,0,1,0.04283884998942392,0.21566065917861754,24.1
16265,1,78,16,90,21,50,51,0,0,0,0,1,1,0,0,7511661,1,0,0.0865918881942693,0.13610926400500145,29.9
18770,1,152,17,70,40,29,41,0,0,1,1,0,0,0,0,7511767,0,1,0.04246158300548295,-0.6927070568004665,26.6
20898,2,183,8,56,45,15,51,1,1,0,0,0,0,0,0,7510830,1,0,0.043695326468300634,-0.27614936456924316,30.2
15167,3,78,10,75,22,3,23,0,0,0,0,0,0,1,1,7511038,1,0,0.013131521851184724,0.9829598026967977,25.8
13759,2,86,12,94,73,26,33,0,0,0,0,1,1,0,0,7511246,1,0,0.10187496778338553,-0.2841438447623457,26.6
19422,2,110,15,99,33,24,48,1,1,0,0,0,0,0,0,7511558,1,0,0.03749485221786559,0.5565652275688768,27.7
20898,4,324,8,53,80,2,62,0,0,1,1,0,0,0,0,7510831,0,1,0.02699974529041645,-0.33203506116808423,22.2
13759,1,20,12,22,34,4,7,0,0,0,0,1,1,0,0,7511247,0,1,0.04888113263636414,-0.5854181039009496,25.7
19856,4,57,19,43,13,9,9,0,0,1,1,0,0,0,0,7511976,0,1,0.03861848520246173,0.4466457501343289,17.5
7169,3,122,7,69,42,7,41,1,1,0,0,0,0,0,0,7510728,0,1,0.04456615975459604,0.10506839732061903,25.3
17723,2,13,13,21,13,4,6,1,1,0,0,0,0,0,0,7511352,0,1,0.028366105280227257,-1.4717402443170884,23.7
5428,1,132,4,45,54,2,22,0,0,0,0,0,0,1,1,7510413,0,1,0.00768792664171321,-0.5690648694063986,32.7
13879,3,171,14,91,34,17,42,1,1,0,0,0,0,0,0,7511455,0,1,0.03950313015860371,1.0853829037600564,20.7
13879,3,2,14,15,6,0,2,0,0,1,1,0,0,0,0,7511454,0,1,0.03876798634491023,1.348510898169314,19.7
19856,1,57,19,43,13,9,9,0,0,0,0,1,1,0,0,7511976,1,0,0.03861848520246173,0.4466457501343289,29.0
17723,4,70,13,78,37,10,23,0,0,0,0,0,0,1,1,7511350,1,0,0.044398323971411253,-0.884053139014644,22.7
15726,2,33,1,28,20,1,14,0,0,1,1,0,0,0,0,7510101,1,0,0.009472874659510716,0.17138079722219274,28.6
13759,4,20,12,22,34,4,7,0,0,1,1,0,0,0,0,7511247,1,0,0.04888113263636414,-0.5854181039009496,19.8
19422,1,118,15,124,43,31,67,1,1,0,0,0,0,0,0,7511557,1,0,0.05432869012675574,0.5318041662032758,27.8
19856,1,29,19,21,10,8,11,0,0,0,0,1,1,0,0,7511974,0,1,0.05127307109114775,0.6744651784068575,23.1
19422,1,110,15,99,33,24,48,0,0,0,0,1,1,0,0,7511558,1,0,0.03749485221786559,0.5565652275688768,30.6
5350,1,45,2,23,55,4,11,0,0,1,1,0,0,0,0,7510206,1,0,0.008892602048576588,-0.9196136595002139,34.2
20898,3,198,8,34,3,7,6,0,0,1,1,0,0,0,0,7510829,0,1,0.03834791115570099,-0.16501578657760615,22.3
8477,4,68,5,93,100,0,11,0,0,0,0,1,1,0,0,7510520,0,1,0.013217462160435654,-1.5421401019127452,24.9
20898,3,324,8,53,80,2,62,0,0,0,0,1,1,0,0,7510831,0,1,0.02699974529041645,-0.33203506116808423,24.5
8477,1,68,5,93,100,0,11,1,1,0,0,0,0,0,0,7510520,0,1,0.013217462160435654,-1.5421401019127452,29.8
13759,3,20,12,22,34,4,7,0,0,0,0,1,1,0,0,7511247,1,0,0.04888113263636414,-0.5854181039009496,25.2
20898,1,127,8,89,66,11,54,0,0,0,0,1,1,0,0,7510832,1,0,0.03342214876446949,-0.5112052722868463,31.2
15167,3,187,10,106,33,21,29,0,0,0,0,1,1,0,0,7511037,0,1,0.021670423696255475,0.9836087971066798,23.6
8477,1,204,6,77,43,2,39,0,0,1,1,0,0,0,0,7510622,1,0,0.01757250420777975,1.0487246508711732,31.5
